Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C216       SMD_0805_CAPC2012X145N       63.25mm      132.75mm       63.25mm      132.75mm       63.25mm      133.65mm  T        270.00 10uF/16V       
C217       SMD_0805_CAPC2012X145N       61.25mm      132.75mm       61.25mm      132.75mm       61.25mm      133.65mm  T        270.00 10uF/16V       
C218       SMD_0805_CAPC2012X145N        62.5mm         140mm        62.5mm         140mm        61.6mm         140mm  T        360.00 10uF/16V       
C227       SMD_0805_CAPC2012X145N        62.5mm         128mm        62.5mm         128mm        61.6mm         128mm  T        360.00 22uF/6.3V      
C229       SMD_0805_CAPC2012X145N          95mm      140.25mm          95mm      140.25mm          95mm      139.35mm  T         90.00 22uF/6.3V      
C233       SMD_0805_CAPC2012X145N        82.5mm         133mm        82.5mm         133mm        82.5mm       133.9mm  T        270.00 22uF/6.3V      
C234       SMD_0805_CAPC2012X145N        97.5mm         121mm        97.5mm         121mm        97.5mm       121.9mm  T        270.00 22uF/6.3V      
D1         SMD_SOT23_SOT95P240X120-3N        80.4mm    138.9951mm        80.4mm    138.9951mm       81.55mm    138.0451mm  T        180.00 BAT54C         
R9         SMD_0603_RESC1608X55N        92.5mm       134.5mm        92.5mm       134.5mm        92.5mm       135.3mm  T        270.00 10k            
R33        SMD_1206_RESC3216X180N       70.75mm       125.3mm       70.75mm       125.3mm       70.75mm       126.8mm  B        270.00 (OPT) 3.01     
R36        SMD_0603_RESC1608X55N       87.75mm         131mm       87.75mm         131mm       87.75mm       131.8mm  T        270.00 768            
R37        SMD_0603_RESC1608X55N          90mm         132mm          90mm         132mm        90.8mm         132mm  T        180.00 2.4k           
R38        SMD_0603_RESC1608X55N          92mm       129.5mm          92mm       129.5mm          92mm       130.3mm  T        270.00 2.4k           
R43        SMD_0603_RESC1608X55N        96.8mm      126.75mm        96.8mm      126.75mm        97.6mm      126.75mm  T        180.00 10k            
R35        SMD_0603_RESC1608X55N       113.7mm       133.5mm       113.7mm       133.5mm       114.5mm       133.5mm  T        180.00 27             
R34        SMD_0603_RESC1608X55N       113.7mm         132mm       113.7mm         132mm       114.5mm         132mm  T        180.00 27             
C254       SMD_0603_CAPC1608X80N         115mm       135.8mm         115mm       135.8mm         115mm       136.6mm  T        270.00 100pF          
C253       SMD_0603_CAPC1608X80N      110.75mm      131.25mm      110.75mm      131.25mm      110.75mm      130.45mm  T         90.00 100pF          
Q3         SMD_SON127P615X520X100-8N          68mm      128.13mm          68mm      128.13mm       70.75mm     126.225mm  T        180.00 AP1RA03GMT-3   
C252       SMD_0805_CAPC2012X145N       82.75mm         136mm       82.75mm         136mm       81.85mm         136mm  T        360.00 1uF/16V        
R48        SMD_0603_RESC1608X55N      110.25mm         121mm      110.25mm         121mm      111.05mm         121mm  T        180.00 (OPT)470       
R49        SMD_0603_RESC1608X55N      110.25mm       119.5mm      110.25mm       119.5mm      111.05mm       119.5mm  T        180.00 (OPT)470       
R50        SMD_0603_RESC1608X55N      110.25mm         118mm      110.25mm         118mm      111.05mm         118mm  T        180.00 470            
R51        SMD_0603_RESC1608X55N      110.25mm       116.5mm      110.25mm       116.5mm      111.05mm       116.5mm  T        180.00 470            
R52        SMD_0603_RESC1608X55N      110.25mm         115mm      110.25mm         115mm      109.45mm         115mm  T        360.00 (OPT)470       
R53        SMD_0603_RESC1608X55N      109.75mm      127.25mm      109.75mm      127.25mm      108.95mm      127.25mm  T        360.00 (OPT)470       
R54        SMD_0603_RESC1608X55N      110.25mm       122.5mm      110.25mm       122.5mm      109.45mm       122.5mm  T        360.00 (OPT)470       
R55        SMD_0603_RESC1608X55N      109.75mm      125.75mm      109.75mm      125.75mm      108.95mm      125.75mm  T        360.00 (OPT)470       
U5         SMD_QFN50P700X700X90-49N         110mm          40mm         110mm          40mm      112.75mm       43.45mm  T        270.00 A3256Q48       
U18        SMD_QFN50P700X700X90-49N          50mm         100mm          50mm         100mm       47.25mm       96.55mm  T         90.00 A3256Q48       
D3         SMD_SOT23_SOT95P240X120-3N       86.75mm       154.5mm       86.75mm       154.5mm        87.9mm      153.55mm  T        180.00 (OPT) BAV56    
C247       SMD_0805_CAPC2012X145N          58mm      111.75mm          58mm      111.75mm        57.1mm      111.75mm  T        360.00 22uF/6.3V      
C246       SMD_0805_CAPC2012X145N       51.25mm         114mm       51.25mm         114mm       51.25mm       114.9mm  T        270.00 22uF/6.3V      
C245       SMD_0805_CAPC2012X145N       82.15mm         114mm       82.15mm         114mm       81.25mm         114mm  T        360.00 22uF/6.3V      
C244       SMD_0805_CAPC2012X145N       82.15mm         124mm       82.15mm         124mm       81.25mm         124mm  T        360.00 22uF/6.3V      
C243       SMD_0805_CAPC2012X145N          91mm         117mm          91mm         117mm        90.1mm         117mm  T        360.00 22uF/6.3V      
C242       SMD_0805_CAPC2012X145N        57.5mm      122.75mm        57.5mm      122.75mm        57.5mm      121.85mm  T         90.00 22uF/6.3V      
C241       SMD_0805_CAPC2012X145N       48.75mm         131mm       48.75mm         131mm       48.75mm       130.1mm  T         90.00 22uF/6.3V      
C240       SMD_0805_CAPC2012X145N        74.5mm      128.25mm        74.5mm      128.25mm        75.4mm      128.25mm  T        180.00 22uF/6.3V      
C237       SMD_0805_CAPC2012X145N      104.25mm      144.75mm      104.25mm      144.75mm      104.25mm      143.85mm  T         90.00 22uF/6.3V      
C236       SMD_0805_CAPC2012X145N        86.4mm         136mm        86.4mm         136mm        87.3mm         136mm  T        180.00 22uF/6.3V      
C235       SMD_0805_CAPC2012X145N          88mm     138.975mm          88mm     138.975mm          88mm     139.875mm  T        270.00 22uF/6.3V      
C226       SMD_0805_CAPC2012X145N          58mm      117.75mm          58mm      117.75mm        57.1mm      117.75mm  T        360.00 22uF/6.3V      
C225       SMD_0805_CAPC2012X145N       59.75mm         121mm       59.75mm         121mm       59.75mm       121.9mm  T        270.00 22uF/6.3V      
C224       SMD_0805_CAPC2012X145N        62.5mm      120.75mm        62.5mm      120.75mm        61.6mm      120.75mm  T        360.00 22uF/6.3V      
C223       SMD_0805_CAPC2012X145N          54mm      116.75mm          54mm      116.75mm        53.1mm      116.75mm  T        360.00 22uF/6.3V      
C222       SMD_0805_CAPC2012X145N          54mm      118.75mm          54mm      118.75mm        53.1mm      118.75mm  T        360.00 22uF/6.3V      
C221       SMD_0805_CAPC2012X145N          54mm      124.25mm          54mm      124.25mm        53.1mm      124.25mm  T        360.00 22uF/6.3V      
C220       SMD_0805_CAPC2012X145N          54mm      128.25mm          54mm      128.25mm        53.1mm      128.25mm  T        360.00 22uF/6.3V      
C219       SMD_0805_CAPC2012X145N        62.5mm       135.5mm        62.5mm       135.5mm        61.6mm       135.5mm  T        360.00 10uF/16V       
Q1         SMD_SON127P615X520X100-8N      67.995mm     140.675mm      67.995mm     140.675mm       66.09mm     137.925mm  T         90.00 AP1RA03GMT-3   
L1         SMD_INDM12501250X800A_-_Coilcraft_SLC1480      72.025mm      118.45mm      72.025mm      118.45mm       67.05mm      118.45mm  T        360.00 SLC1480-201MLD 
U15        SMD_QFN50P700X700X90-49N          50mm          40mm          50mm          40mm       47.25mm       36.55mm  T         90.00 A3256Q48       
U2         SMD_QFN50P700X700X90-49N         110mm         100mm         110mm         100mm      112.75mm      103.45mm  T        270.00 A3256Q48       
C1         SMD_0603_CAPC1608X80N         116mm      103.55mm         116mm      103.55mm         116mm      102.75mm  T         90.00 470nF          
C2         SMD_0603_CAPC1608X80N       116.2mm       83.55mm       116.2mm       83.55mm       116.2mm       82.75mm  T         90.00 470nF          
C3         SMD_0603_CAPC1608X80N         116mm       63.55mm         116mm       63.55mm         116mm       62.75mm  T         90.00 470nF          
C4         SMD_0603_CAPC1608X80N         116mm       43.55mm         116mm       43.55mm         116mm       42.75mm  T         90.00 470nF          
C5         SMD_0603_CAPC1608X80N      111.25mm       46.95mm      111.25mm       46.95mm      111.25mm       46.15mm  T         90.00 470nF          
C6         SMD_0603_CAPC1608X80N         116mm        56.3mm         116mm        56.3mm         116mm        57.1mm  T        270.00 470nF          
C7         SMD_0603_CAPC1608X80N      106.75mm       66.95mm      106.75mm       66.95mm      106.75mm       66.15mm  T         90.00 470nF          
C8         SMD_0603_CAPC1608X80N      113.75mm     66.9998mm      113.75mm     66.9998mm      113.75mm     66.1998mm  T         90.00 470nF          
C9         SMD_0603_CAPC1608X80N     107.243mm        53.2mm     107.243mm        53.2mm     107.243mm          54mm  T        270.00 470nF          
C10        SMD_0603_CAPC1608X80N      111.25mm        53.2mm      111.25mm        53.2mm      111.25mm          54mm  T        270.00 470nF          
C11        SMD_0603_CAPC1608X80N         104mm       57.95mm         104mm       57.95mm         104mm       58.75mm  T        270.00 470nF          
C12        SMD_0603_CAPC1608X80N      103.95mm       63.55mm      103.95mm       63.55mm      103.95mm       62.75mm  T         90.00 470nF          
C13        SMD_0603_CAPC1608X80N        96.3mm       64.75mm        96.3mm       64.75mm        95.5mm       64.75mm  T        360.00 470nF          
C14        SMD_0603_CAPC1608X80N        96.3mm       44.75mm        96.3mm       44.75mm        95.5mm       44.75mm  T        360.00 470nF          
C15        SMD_0603_CAPC1608X80N        96.3mm       84.75mm        96.3mm       84.75mm        95.5mm       84.75mm  T        360.00 470nF          
C16        SMD_0603_CAPC1608X80N       86.25mm        46.8mm       86.25mm        46.8mm       86.25mm          46mm  T         90.00 470nF          
C18        SMD_0603_CAPC1608X80N          56mm      102.05mm          56mm      102.05mm          56mm      101.25mm  T         90.00 470nF          
C19        SMD_0603_CAPC1608X80N      52.757mm       106.8mm      52.757mm       106.8mm      52.757mm         106mm  T         90.00 470nF          
C20        SMD_0603_CAPC1608X80N       48.75mm       106.8mm       48.75mm       106.8mm       48.75mm         106mm  T         90.00 470nF          
C21        SMD_0603_CAPC1608X80N       66.75mm      106.95mm       66.75mm      106.95mm       66.75mm      106.15mm  T         90.00 470nF          
C22        SMD_0603_CAPC1608X80N          64mm      103.55mm          64mm      103.55mm          64mm      102.75mm  T         90.00 470nF          
C23        SMD_0603_CAPC1608X80N          64mm       97.95mm          64mm       97.95mm          64mm       98.75mm  T        270.00 470nF          
C25        SMD_0603_CAPC1608X80N          44mm       103.7mm          44mm       103.7mm          44mm       102.9mm  T         90.00 470nF          
C26        SMD_0603_CAPC1608X80N       88.75mm       33.05mm       88.75mm       33.05mm       88.75mm       33.85mm  T        270.00 470nF          
C28        SMD_0603_CAPC1608X80N       93.25mm       33.05mm       93.25mm       33.05mm       93.25mm       33.85mm  T        270.00 470nF          
C29        SMD_0603_CAPC1608X80N       86.25mm     33.0002mm       86.25mm     33.0002mm       86.25mm     33.8002mm  T        270.00 470nF          
C33        SMD_0603_CAPC1608X80N      113.75mm     86.9998mm      113.75mm     86.9998mm      113.75mm     86.1998mm  T         90.00 470nF          
C35        SMD_0603_CAPC1608X80N          64mm       57.95mm          64mm       57.95mm          64mm       58.75mm  T        270.00 470nF          
C36        SMD_0603_CAPC1608X80N       63.95mm       63.55mm       63.95mm       63.55mm       63.95mm       62.75mm  T         90.00 470nF          
C37        SMD_0603_CAPC1608X80N        63.7mm       55.25mm        63.7mm       55.25mm        62.9mm       55.25mm  T        360.00 470nF          
C38        SMD_0603_CAPC1608X80N       53.25mm       73.05mm       53.25mm       73.05mm       53.25mm       73.85mm  T        270.00 470nF          
C39        SMD_0603_CAPC1608X80N       48.75mm     73.0002mm       48.75mm     73.0002mm       48.75mm     73.8002mm  T        270.00 470nF          
C40        SMD_0603_CAPC1608X80N       73.75mm       73.25mm       73.75mm       73.25mm       73.75mm       72.45mm  T         90.00 470nF          
C41        SMD_0603_CAPC1608X80N          44mm        83.7mm          44mm        83.7mm          44mm        82.9mm  T         90.00 470nF          
C42        SMD_0603_CAPC1608X80N       48.75mm        86.8mm       48.75mm        86.8mm       48.75mm          86mm  T         90.00 470nF          
C43        SMD_0603_CAPC1608X80N        56.3mm       84.75mm        56.3mm       84.75mm        57.1mm       84.75mm  T        180.00 470nF          
C44        SMD_0603_CAPC1608X80N       71.25mm       86.95mm       71.25mm       86.95mm       71.25mm       86.15mm  T         90.00 470nF          
C46        SMD_0603_CAPC1608X80N       46.25mm        86.8mm       46.25mm        86.8mm       46.25mm        87.6mm  T        270.00 470nF          
C47        SMD_0603_CAPC1608X80N          84mm       36.45mm          84mm       36.45mm          84mm       37.25mm  T        270.00 470nF          
C51        SMD_0603_CAPC1608X80N          76mm        56.3mm          76mm        56.3mm          76mm        57.1mm  T        270.00 470nF          
